Q,A
지금 아디 치는중 아 빡쳐서 못하게 ㅅ 네 준서 강의 얼굴 비추러 갔다올게 출첵하나봐 ㅋ,ㅇㅋㅇㅋ한판하고있을게 천천히하셈
ㅇㅋㅇㅋ,갑자기 니르바나 회장한테 카톡이왔다 ㅋㅋㅋㅋ
뭐라고??,김동민 지인아니냐고 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋ
왜???,돈안내고 튀었잖아
방 나갔음???,ㅇㅇㅋㅋㅋㅋㅋㅋ 너랑 나랑 남음 동민이 지인이냐고 하는데
준엽이도 나감?,ㅇㅇ이제 인천간다고 나갔어
미치겠네 ㅋㅋㅋㅋ동민이는 왜?,ㄴㅋㅋㅋㅋ 돈안내고 나가서 이제 책임 지라는듯
나도 쉬어볼겡 ㅋㅋㅋ,야야.. 내 어깨 부셔져 잠수타고있다가 스리쓸쩍 나가는거 어때 뭐하누 듀오 ㄱ?
여제 너무 피곤해서 9시40분 쯤에ㅠ자버렸으,준비됐니? 어이야 준비가됐어? 뭐야 겜중이노
끝났니? 곧끝자감 이거,오케
끝났응 씻었노,ㅇㅇ 준비완료지 고구마먹고있었음
40분까지 간다잉 ㅇㅋ?,ㅇㅋㅋ
굴다리 가는중 나 시험자료 받고있어서 ㄱㄷㄱㄷ,힝
준서 카공할래? 준서 몇시에 알바가?,5시까지염
ㅇㅋㅇㅋ7시쯤 간다,역할7시쯤 온다고?
아마? 나 지갑이없어서 잃어버려서 거기서 먹어야지 뭐,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지갑이랑뭔상관인지는 모르겠지만 환영이여 재밌겠다
민증이없엉,아 킹정이네 ㅇㅋㅇㅋ7시 기다릴게
ㅇㅈ 그전에 코노나 때리던지 5시까지라며,몇시에유는데
지금 타는데 40분걸림,오홍 3시 강의 녹화때리고갈까
3시30분 도착인데 석계가면 4시될즛? 수업,아그래?
들어도괜찮을거같은데 얍얍,그러면 들어도되겠네 도착하면말혀
맞제 오케이,어쩌다 과일소주 2병 줄수있는데 먹을꺼야?
아냐 걍 소주먹어야지,알겠웅
이제 지하철타쓰,오는구나~
일 얼마나 잘하나,벌써흥분돼
본다,ㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋ 윙스버거 진상짓 이제야,장원이랑 지원이도 온다네
갚아주는구나,ㅋㅋㅋ
ㅋㅋㅋㅋㅋ,봐줘잉
ㅋㅋ 되겠니,ㅋㅋㅋㅋㅋㅋ
못봐주지,왜그럴깡?
킄킄 그냥~,잘해줄게
가면 마사지 해주셈 거기 마사지샵아님?,응???ㅋㅋㅋㅋㅋㅋㅋㅋ 소주잔으로 얼굴 굴려줄게^^
에이씨 준서 술 아직까지 마시는거야???,이제 집가지
어이쿠 3차까지 제대로 달렸구나,통화해주냐?
왜 전화했어? 못들엇어 아까 말한걸 나 롤중 ㅋㅋ,심심해서....
아아,ㅋㅋㅋㅋㅌ
미안 롤중 조심히 드가구,롤중 ㅅㅂ.. 에바야~~~~~
쏘링 조심히 드가십쇼,이 카톡은 기억이 안나는데 뭐지 ㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋ 뭐노,기억이 불완전하네 카페 못들렸어 늦을거같아서
ㅋㅋㅋㅋㅋㅋ 난 지금 거기없음 동민이만 있어 고모 병원에있어서 뭐 드려야한데서 드리고 가야함,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아직도 도착안한거야?
ㄴㄴ 있다가 나왔어 아까,아 ㅋㅋㅋㅋ
다시 다신 못가고 집가야지 ㅋㅋ,동민이 우는줄 알았네 아니네 울겠네 ㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋ그정돈 아니제..,오늘 뭐하게 집에서 쉴거애?
쉬어야제 나 알바가진여 ㅋㅋ,오늘 알바가?
너너 너 알바가잔아,아 ㅋㅋㅋㅋㅋㅋ 맞지
오늘 집에 있어야ㅐ지,좋네용
ㅅ발 오늘 대면인거 까먹고 택시타고 달려가는중,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 후다닥 갔어?
오늘부터 공ㅂ부해야지 맞제,지각함? ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃기냐
저정도면 자객아님? ㅋㅋㅋ 언급 왜하는건데,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
미치겠어,마냥 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 댓글달면 ㄹㅈㄷ
자지말려줘? 댓글 써볼까 ㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ 자말!
미치겈ㅅ네 어제 3만원짜리 마사지받았는데 팬티를 티팬티를 주는데 어카라고,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미친놈인가 또 마사지 받았어??
수치풀 제대로함 몸이 아파서 제대로받았제,셤 다 끝났냐? 언제 종강임?
우린 12월15일부터 시험시작인데 우리과는 20일인가 하루에 몰아볼듯?,오케잉
넌 ? 담주?,나도 다다음주?
곧 본다고하지않았누,응 텀이 좀길어 ㅋㅋㅋㅋ
낟벳이네 하루 몰빵은 좀 구래,몰빵은 좀 힘들긴하지 종강만 기다린다 진짜루
미치겠어..,소주 마렵다 시댕 다음주에 올라오냐?
담주에 가야지 내일부터 시험.. 좆같다,ㅋㅋㅋㅋㅋㅋ
준서 들어오는데 엄마 한테 딱 걸려서 니 담배 폈다고했다 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ 커밍아웃했네
쏘리... 난 커밍아웃안함 널 팔았어 ㅋㅋㅋ 근데 눈치가 걸린 삘이야,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 나 담배폈다고 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅁㅊㄴ
미안하다 하지만 나의 심정을 이해하잔으 ㅋㅋㅋㅋㅋㅋㅋ,괜찮아 우리 엄마한테만 안걸리면 돼
확인~ 롤체 한판 때리던지,잠만 씻고요 3시 좀 넘어서 ㄱㄱ 일어나
지금일어남 ㅋ,준비해
나가게?,피방가자 몇시까지 못나오는디
지금 나가?,ㄴㄴㄴㄴ 아직 나 현지 만나고 연락할게
ㅇㅋㅇㅋ 코노옴 ㅋㅋ,누구랑
혼잨ㅋㅋ,야잇 왜 미리 나왔오 ㅓ
ㄱㅊㄱㅊ,5시 도착할거같아 더캠으로갈게
오케이 뭐하농,엘가지
😂,너는?
난 술마시러갈려고,어데로
거 어디냐 투다리,ㅇㅎ
니가 머리에 껌 뱉은곳 ㅋ ㅋ ㅋ ㅋ,지금 가느넉야? ㅋㅋㅋ 투다리 아니야
ㅇㅈ 파전집 시발 ㅇㅈ?,투다리간다고?
코노 임 얍 윤상이랑,그 이마트 24 편의점 앞에 있는곳말하는거지?
ㅇ어어,이따 갈떄 들릴게
왜?,우리도 코노갔다가 갈듯
편의점?,ㄴㄴㄴㄴ 코노갔다가 돌아다닐거같아
ㅇㅋㅇㅋ 심심하묜 오라규 인스타 봤는데 킹리적갓심이 든다 친구야 ㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무슨..? 난 잘 모르겠는디
암튼 나 지금 노가다 하고 집가는데,응
케이크 보니깐 배고프네,ㅋㅋㅋㅋㅋㅋㅋㅋ 집가서 밥먹어 이 자식아 고생했어
넌 맛있는거 먹었어?,현지가 계란말이랑 용가리 해줬어 근데 인스타 친구 아닌데 어케봄??
ㅋㅋ 그러게 말이다,빨리말햐
키야 몸 봐라,ㅡ.ㅡ
준서 잘 들어갔냐,잘 들어갔지용
헬스하는데ㅜ죽을맛이다잉,결국 헬스장 갔구나야
확실하지,돈 보냈당
탱ㅜ 수업듣는데 갑자기 메트랩? 수업한다는데 좆됨을 느꼇다,ㅋㅋㅋㅋㅋㅋ 그 느낌이 맞아 ㅈ된거임
에휴~ 수업 중이구나,똥싸는중 도착함?
얍,지금 미아리우동집에서 밥시킴 먹고 바로간다잉
오케이 준서 줄 이어폰 남는거있어?,오늘 뭐하노
푹쉬제,카공 조지던가~
ㄱㄱ~~ 좋지,나 씻구 밥먹고 연락할게 너도 그러고 있으셈
나도 씻고 밥먹고 연락드림 ㅋㅋ,오카이 어디닝?
어디니,어디긴 삼거린데
오디니,5출앞
나도 삼거리인데 언제 나올꺼유,현지랑 통화중이여서 이따가 톡할게유 오늘 뭐하노?
죽게 플3 0포 도달해서,미친놈
그냥 죽을려고,오늘뭐하냐고 십
년아 넌 오늘 뭐하는데,ㅋㅋㅋㅋㅋ 오늘 학교안갔냐? 나 7시언저리 끝날거같은데 피방생각있노
좋제 동민이랑 카페가서 공부하기로해서 끝나고 가면 딱될듯,오케오케 언제끝날지 몰라서 끝나면 바로 연락할게
끝나긴함?,ㅋㅋ 스발럼아 이번엔 끝나 Just believe
준서 나 회기 카페왔는데 애들이랑 회기에서 게임할거같은데 오쉴?,회기라.. 어째서 회기인것인지 을은 따라야지.. 피방갈때 좌표찍어줭
오케이 나 밥먹고있어서 준서 쏘리,밥먹고있었구나 카페 공부 몇시까지 할꺼야?
나 지금 나왔어,집이엮어?
나 회기 카페에있어섰,아 뭐야 그럼 밥도 먹고 카페도 갔다온거네?? 다음 목적지가 혹시 피방이닝?
어어 맞ㅈ0 조져봐야제,그럼 나 회기로간다?
토케이! 늑대와여우 Pc방으로오ㅓ 회기 2번출로 나오면됨,ㅇㅋㅇㅋ 아까 갔는디 자리도 없고 해서 고냥 카페 왔어 담에 보자구
오케이 준서 올때 줄이어폰 가져와줘,ㅇㅇㅋ
감사합니다~,롤 마렵다 마려워 화공탱 갈리오 탑 카밀 하고 시퍼
고고링하던지,야 시발 답을 여자친구한테 보냈어
욕은,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
하지말자잉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뭐라고 보냈노ㅓ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
내가 하자고 했는데 왜,아 근데
여친한테 가서,다행히
하자고하는겅미 어이가 없네;;,10시까지 쉅이야 ㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이렇게 보냈거든
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅈㄴ뜬금없긴하지만 그나마 다행이지
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 준서 시팔 10시까지 수업인데 롤 하자고 왜 불지폈어,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
혼자 솔랭드간다,ㅈㄴ 매려워가지고
준서 나 돌풍 사미라 해봐쓴ㄴ데 개꿀잼임ㅋㅋㅋ,스바 같이 좀하자
조오치 방금 나서스 0킬 10뎃ㄱ 박고 겜 안하네 ㅋㅋㅋㅋㅋㅋ\ 못하겠다 혼자선,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쉅 안핞 안하노
따악 한판ㅁㄴ 더하게,일요일에 해보던가 일요일 시간 날듯
그래보던가,오카이 그때 보자구
확인,마 일어났나 카페 먼저 갈 준비해라
짐일어나 준서 씻을게,응 나 이제 나가 피방먼저 가자 이따 전화함 현지 데랴다 주게
나 밥 안먹어서 먹고 나갈게 준서 나 롤 접었어 근데,ㅈㄹㄴ
18연패했는데 겜 맞냐 준서 나 과제 프로젝트 있어서  카페 못갈거같아 미안하오,알았슈 담에봅시다
오야,오이 혹시 내 이어폰 거기있나?
아마 내가 갖고있어 동민이가 저번에 이어폰 하나 주던제,내놓으라
언제쭐까 18번방이요 준샤 준서 준서,ㅇㅇ?
전화가능?,ㅇㅇ 1분듀ㅣ ㄱㄱ
ㅇㅋㅇㅋ 준서 이해가 팍팍되는데 지렸다,린정
준서 진짜 준엽이 어케된거놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ 아직 ㄱㄷㄱㄷ
골때리긴한에 하네,그니까 ㅋㅋㅋㅋㅋㅋ 미친넘
우크라이나 간ㄱ ㅓ아님? 의용군으로 간듯,김준엽 사망
이제 사망설까지 도는거임?,취소 가기 귀ㅣ찮아짐
오케이,자냐??
ㄴㄴ 나와서 담배하나 피고있는데 왜?,언제 자게 집앞임?
좀 늦게? 어어 왜?,나 지금 비바마트 ㅋㅋ
아ㅠ그래?,이제 집가고있어서
잠깐 보쉴?,조치 어디쯤
나 내리막길,ㅇㅋㅇㅋ
준서 낼하자 씻어더니 피곤해주겄어,오카이..
쏘링,담ㅁ에 보자구ㅠ 내일 이어폰 가지고 와요 일어남 ?
핸드폰 끄고자서 뭐 제대로 잤네,ㅋㅋㅋㅋㅋㅋ 더 자라 임마 나 어차피 3시반정도면 갈듯
아 오케이 미안미안,얍얍 9시에 일어난다는 놈 어디감 카페 ㄱ?
준서 나 12시30분까지갈게 설거지 하고 가야할듯,ㄱㅊ 나도 30분도착예정임ㅋ 이어폰 가지고와
Sz  ㄹㅋ,엘가 도착
다와쓰 나도,그려 내일 카페갈꺼임??
나 내일 원주가야함,아항 오케
석계?,응 집가려고 어디?
집왔엉 준서 알바 언제하자규했지? 토?,금요일이욤
신청해야함 준소 준서,문자 지원?
그 보면 초간단 지원 있을거야,오전조 맞지 희망공정 뭐임
엉,입고 출고 허브
OB,제출 완료 그냥 바로 가면되나? 너 오늘 서울오지
지금 가는중 나도 방금 제출 노원 중계 노선했지?,응응 시발 존나 두근거려
왜?,오랜만에 돈 벌러가자너 내일 몇시에 만날래 아니다 이따 전화함 지금 강의듣고있어서
ㅇㅌㅇㅋ 우리 내일 존나 일찍 가야함...ㅋㅋㅋㅋㅋ,전원 꺼져있네 일어남?
얍,나 씻는다?
나두,ㅇㅇㅋ 나왔냐? 나 이제 나간다?
ㄴㄴ 나가야지 40분에 나갈듯,ㅇㅋㅇㅋ 밖에 비온다 우산챙기셈
국 6번?,7번 원준
??,춥다 원준 안늦게 올수있ㅕ? 나 도착
나 걸어가는중 7분후 도착,후드집업 나한테 있응ㅍ 담에줄까?
맞다. 오케이#,ㅇㅋㅇㅋ
준서,냐일 찍어줄게 나 오늘도 집에 안들어가
오케이 빠르게 해줘잉,얍
준서 너가 말한 신발 오늘abc 가서 봤는데 9.9ㄴ ㅋㅋ,맞지 ㅋㅋㅋㅋㅋㅋ
피치먼트인가 그거 맞지?,색?
흰색 아니구 살짝,ㅇㅇㅇ
아이보리 느낌,누리끼리 ㅇㅇ
어어 맞아,99맞다니께 난 9.7이였나
색이 비슷해서 헷갈렸나봄 쏘리~,괜춘 신발므ㅏ삼?
동민이 라코스테 사줌 12만원, ㅇㅎ
근데 애들이 돈 못준다고 5월10일날 준다느넫?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,엥
에휴 내돈으로 결제했음,일단 너가 돈 다냄? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
결제하면 바로 준다고 했느데 역시나 안줌,애들이랑 같이있는거아녀? 미친놈들인가
ㄴㄴ 나랑 동민이만 만나서사줬엉 💌 함께 온 메시지 "축하해요!"  오래가라,오잉
고생했다 쿠팡맨,이게무야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 잘먹을게 씹 고맙네
친구잔나 나의 부랄털 정도,미쳤다미쳤어
오야~,스윗남이규나 고맙다잉
술먹길래 아이스크림 땡길거같아서,최고지 이마
보냈음,현지가 아이스크림 또 좋아하거든
오히려 좋았다,ㅋㅋㅋㅋㅋ 내일 먹을게용 현지지금 뻗어가지공 진짜 잘먹을게
오야,어디야 누구랑 통화중임 야야 카톡봤으면 답을해라임마 인생은 타이밍이야 옷 줄 시간이 지금이다 이거야
어딘인데?,동네 석계광장 너 ㅇㄷ임 ?
나 회기역 잊0 이제 지하철 타게,이제 집? 가냐? ㅇㅋ 5번출규로 와라
오케이,아이 시밸넘 전화통화하기가 왤케 힘들오 ㅓ 어디쯤이야 초s급 상태
하얀색 아니였누,척 70 말한거아님? 약간 누리끼리 한색
그 하얀색이 페퍼민트 전체적으로 하얀색인줄 알았는데,잉? 아예 하얀색인줄 알았어?
앙 나도 그 검정은 로우로 있어서,아 그말이였구나 난 검정바탕에 밑바닥만 누리끼리한 흰색임 내꺼는
오케이오케이 찍어줘서 고마워,ㅇㅋㅇㅋ 야야 오늘 뭐해
오날 암것두 안함,나와
카페 가게?,ㅇㅇ 카페에서 공부중 공부하다가 겜좀하자
좋지 어디 카페야? 씻고 갈게,엘가여 빨리와
오케이# 방금 왔어?,ㄴㄴ 3시부터 공뷰중
야야 그럼 나 가면 겜하러 가는거 아닌교..,ㅋㅋ..
걸렸냐,2~3시간은할듯
ㅋㅋㅋㅋㅋㅋㅌ? ㅇㅋㅇ ㅋ,ㅋ ㅋㅋ
그정도도 충분해,야미 오셈
지금 씻을게,ㅇㅋㄴㅋ 캎 ㄱ?
ㄱ? 오늘은 몇시까지 할낀ㄷ0 할꺼?,8~9시 어떤데
저녁 8시에서 9시?,ㅇㅇ
몇시에,중간에 가도됨
갈?,아직 안씻어서 음
카페 몇시에 갈써? 나도 씻어햐함,2시반?
누워있음,어때 나동
오케이,ㅇㅋㅇㅋ~
그럼 2시30붐까지 엘가에서 보자 준서 점심 먹음?,자냐?
ㄴㄴ 보고서 쓰는중 머선일?,오늘 커페가냐고 전화함
아 전화못봤다 지금 걸게 동영상,존나 잘했는데? 나머지 2명은 줘패고싶네 그냥 왤케 잘했어
왜 다 그소리하노 ㅋㅋㅋㅋㅋ,ㅈㄴ 듣기 싫어 2명은 너가 말한건 쏙쏙 드러옴
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ팀 결성이 잘못됐어 계속 그말 듣는중..,ㅋㅋㅋㅋㅋㅋㅋ 어쨌든 잘함 고생했다ㅣㅇ
고맙다귱,현지한테 영상보여줘도되ㅁ?
얍얍,현지가 잘한대~~ 굳굳
Good good,로또 번호도 괜찮겠다
내가 무자위로 번호를 받고 맞추는거임?,난수설정해서 ㅇㅇ 근데
randi?,로또 번호도 같이 변하거나 몇개맞췄눈지도 알료주고
좋은거같은데?? 일단 사다리 시도해보게 이미 방금 서치했어~,ㅇㅎ
그거 실행까지 해봤는데 안되ㅡㄷ라,ㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,안돼?
안돼안돼 ㅋㅋ,왜 안되지
줄 몇번째 틀렸다고 나와서,스샷 ㄱㄱ
무시하고 닫앗ㅇㅁ 잠만,ㅇㅎ
일단 좀더 찾아보구 또 궁금하면 연락줄게 준서 다른것좀 해보게,아 ㅇㅋㅇㅋ 알겠엉 야야 미쳤다 사다리 만듦? 빙고 어떻노
사다리 시도조차 못했어 준서 빙고 너무좋잔아 구욷! 어케하누..,빙고 시바 존나싀워 처음에 플레이어 수 입력받고 그 수 만큼 빙고판 만들고 5×5면 25개 입력 값 받고
준서 근데 제한조건이 내장함수 3개 이상을 사용하라는데 그냥 매트랩에 있는 내장함수 3개를 사용하라는걸까 ? 이것때문에 뭐해야할지 감이 안잡혀,매장함수면 Math pi 이런거망하는건가 시험 끝나고 밥 떠먹여드림 하구있어바
일단 하구있어볼게 고맙다구 준서,그려
예압,서울 언제오냐?
내일 5시에서 6시? 6시정도로 생각하면 될거같은데,ㅇㅋㅇㅋ  5000원 초기 자본금 3000원 C1한테 배팅해서 8000원 벌음
작동 해??,ㅇㅇㅇㅇ 방금 내가 코딩한거야
저ㅠ변수를 넣어줘야하는거였나,ㄴㄴㄴㄴ 그냥 입력하면 잘 돌아가더라 ㅋㅋㅋㅋ
입력을 원래는 준서 바빠?,ㄴㄴ
궁금한게 있어서 물어볼려구,오오 오오오옹 물어보셈 
빙고 게임 한번 하고있는데 도대체 사옹자 정의 함수가 뭐임,너꺼 아니지 씹년아
준서 너 옛날에 준엽이랑 했던 알바 뭐였지? 비마트인가?,ㅇㅇ맞음
어디에 있어? 상봉?,존나많음 알바하게? 나도껴줘
나 해야지 돈 없어서,ㅋㅋㅋㅋㅋㅋㅋ
일단 주말 조져보게,주말?
ㄴㄴ 토일 일단 하고,누구랑하게
다음주부터는 평일 일주일만 하게 나 혼자 해야지,일요일같이 지원해볼까
좋지,못할수도 있는데 일단 지원은 해볼게 나도 찾아볼게
오케이 무슨 지점인디 지금 찾고있어,지점이 엄청많아 내가했던데가 2군데임 ㄱㄷ려보
링크 보내주면 탱쿠!,http://www.alba.co.kr/job/Detail.asp?adid=114864831&listmenucd=SEARCH http://www.alba.co.kr/job/Detail.asp?adid=114789423&listmenucd=SEARCH http://www.alba.co.kr/job/Detail.asp?adid=114788704&listmenucd=SEARCH
어 중랑 면목있네 굳굳,내가한게 중랑 면목인ㄷ스?
상봉이구나 스근하게 해볼게,토일 둘다 넣을거임/ ?
엉 할것도 없으니깐 돈이라도 벌게,오키 나도 일요일 지원함
오케이 준서 이거 인터넷지원하면 확정 문자 안옴?>?,나도 안옴 ㅋㅋㅋㅋ
뭐지.. 준서 뭐 이거 요즘 인기알바냐 연락이 안오네,오늘 뭐해
암것도 안하지,내일 몇시에 만날거야
내일 저녁?,어키오키 일어남?
어,뭐할꺼야
알바찾는중,흐음
왜 오늘 쉬니,나 이따가 현지 만나기 전까지 피방갈껀데 같이 가자고 할까 말까 고민중 너 괜찮으면 같이 가고 아니면 나 혼자 가고
몇시?,한 3시부터 7~8시?
음 일단 ㅇㅋ,ㅇㅋㅇㅋ
준서 롤 하는중이야?,방금 두판 끝내고 밥먹는중 Tltrhdhsekd 씻고올ㄴ다
ㅇㅋㅇㅋ,나 끝 속 안좋아서 화장실좀
너ㅏ 나도 2분정도 남음 준서 나 왔음 아 ㅇㅋ,디코 할꺼지
지금 전화거는중,잠만 잠만
ㅇㅋ,닷지 다싲 닷지 닷지 닷지
